No.,Time,Source,Destination,Protocol,Length,Info,label
338,30.721726,www.google.com,FioImma.local,TCP,60,443  >  54801 [ACK] Seq=8361 Ack=4124 Win=77056 Len=0,TCP Traffic
339,30.727666,www.google.com,FioImma.local,TLSv1.3,484,Application Data,Other
340,30.727666,www.google.com,FioImma.local,TLSv1.3,108,Application Data,Other
341,30.727666,www.google.com,FioImma.local,TLSv1.3,85,Application Data,Other
342,30.727738,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=4124 Ack=8876 Win=130560 Len=0,TCP Traffic
343,30.73039,FioImma.local,www.google.com,TLSv1.3,222,Application Data,Other
344,30.744707,www.google.com,FioImma.local,TCP,60,443  >  54801 [ACK] Seq=8876 Ack=4292 Win=79872 Len=0,TCP Traffic
345,30.749294,FioImma.local,www.google.com,TLSv1.3,122,Application Data,Other
346,30.76147,www.google.com,FioImma.local,TCP,60,443  >  54801 [ACK] Seq=8876 Ack=4360 Win=79872 Len=0,TCP Traffic
347,30.778769,FioImma.local,igmp.mcast.net,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources,Other
348,30.788967,FioImma.local,mars.octa.edu,DNS,99,Standard query 0x8577 PTR 110.182.250.142.in-addr.arpa OPT,Other
349,30.805839,mars.octa.edu,FioImma.local,DNS,138,Standard query response 0x8577 PTR 110.182.250.142.in-addr.arpa PTR maa05s21-in-f14.1e100.net OPT,Other
350,30.831147,www.google.com,FioImma.local,TLSv1.3,301,Application Data,Other
351,30.831147,www.google.com,FioImma.local,TLSv1.3,118,Application Data,Other
352,30.831147,www.google.com,FioImma.local,TLSv1.3,85,Application Data,Other
353,30.831147,www.google.com,FioImma.local,TLSv1.3,93,Application Data,Other
354,30.831245,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=4360 Ack=9257 Win=130304 Len=0,TCP Traffic
355,30.832221,FioImma.local,www.google.com,TLSv1.3,93,Application Data,Other
356,30.838636,www.google.com,FioImma.local,TLSv1.3,305,Application Data,Other
357,30.838636,www.google.com,FioImma.local,TLSv1.3,1466,Application Data,Other
358,30.838636,www.google.com,FioImma.local,TLSv1.3,1384,Application Data,Other
359,30.838636,www.google.com,FioImma.local,TLSv1.3,217,Application Data,Other
360,30.838705,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=4399 Ack=12413 Win=131072 Len=0,TCP Traffic
361,30.84186,www.google.com,FioImma.local,TCP,60,443  >  54801 [ACK] Seq=12413 Ack=4399 Win=79872 Len=0,TCP Traffic
362,30.850108,www.google.com,FioImma.local,TLSv1.3,1466,Application Data,Other
363,30.85175,www.google.com,FioImma.local,TLSv1.3,9938,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data",Other
364,30.851778,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=4399 Ack=23709 Win=131072 Len=0,TCP Traffic
365,30.854106,www.google.com,FioImma.local,TLSv1.3,4290,"Application Data, Application Data, Application Data",Other
366,30.854189,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=4399 Ack=27945 Win=131072 Len=0,TCP Traffic
367,30.854292,www.google.com,FioImma.local,TLSv1.3,1179,Application Data,Other
368,30.854335,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=4399 Ack=29070 Win=130048 Len=0,TCP Traffic
369,30.869528,www.google.com,FioImma.local,TLSv1.3,1466,Application Data,Other
370,30.871028,www.google.com,FioImma.local,TLSv1.3,8526,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data",Other
371,30.871091,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=4399 Ack=38954 Win=131072 Len=0,TCP Traffic
372,30.874158,www.google.com,FioImma.local,TLSv1.3,1466,Application Data,Other
373,30.874201,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=4399 Ack=40366 Win=131072 Len=0,TCP Traffic
374,30.874722,www.google.com,FioImma.local,TLSv1.3,1466,Application Data,Other
375,30.874722,www.google.com,FioImma.local,TLSv1.3,1466,Application Data,Other
376,30.874722,www.google.com,FioImma.local,TLSv1.3,1466,Application Data,Other
377,30.874722,www.google.com,FioImma.local,TLSv1.3,1466,Application Data,Other
378,30.874722,www.google.com,FioImma.local,TLSv1.3,1179,Application Data,Other
379,30.874722,www.google.com,FioImma.local,TLSv1.3,1466,Application Data,Other
380,30.874722,www.google.com,FioImma.local,TLSv1.3,708,"Application Data, Application Data, Application Data",Other
381,30.874837,FioImma.local,www.google.com,TCP,54,54801  >  443 [ACK] Seq=4399 Ack=49205 Win=131072 Len=0,TCP Traffic
382,30.875115,FioImma.local,www.google.com,TLSv1.3,93,Application Data,Other
